trade_licence_no,business_name,proprietor_name,trade_category,business_address,ward_name,ward_no,pin_code,pan,gstin,mobile,email,licence_issue_date,licence_expiry_date,licence_status,num_employees,annual_turnover
BBMP/560100/0018,Cables Janatha Enterp,Suresh Nair,FACTORY,"Service Road, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,166,560100,UBYFO7356B,,,,2022-02-23,2027-02-23,SUSPENDED,678,37114143.0
BBMP/560058/0019,Wipro Pumps International,Ramesh Kumar,GARMENT,"839/5, Industrial Road, Peenya, Bengaluru, 560058",Peenya,187,560058,CVTFM6093X,,9232758201,,2008-01-16,2027-01-16,ACTIVE,40,38555174.0
BBMP/560100/0020,United Valves Group,Priya Kumar,FACTORY,"259/9, Ring Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,117,560100,LDICE8235H,29LDICE8235H3Z0,9943322756,,2022-03-16,2027-03-16,ACTIVE,756,22624927.0
BBMP/560058/0021,Karnataka Valves International,Ramesh Sharma,GARMENT,"306/4, Factory Road, Peenya 1st Stage, Bengaluru, 560058",Peenya 1st Stage,127,560058,,,9433403086,,1995-02-08,2027-02-08,ACTIVE,182,21439814.0
BBMP/560058/0022,Infosys Plastics Works,Priya Rao,CHEMICAL,"1st Cross, BEL Road, Bengaluru, 560058",BEL Road,27,560058,JBICR9988U,29JBICR9988U7ZU,,,1992-12-26,2027-12-26,ACTIVE,575,5419943.0
BBMP/560058/0023,Garments Wipro Pvt Ltd,Ramesh Nair,FOOD,"Service Road, Peenya 2nd Stage, Bengaluru, B'lore",Peenya 2nd Stage,132,560058,SUCHR2631F,,9609862077,,2010-05-20,2027-05-20,ACTIVE,405,21235602.0
BBMP/560100/0024,Mahalaxmi Foods Group,Anitha Rao,CHEMICAL,"269/2, Cross Road, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,139,560100,KPPHT6294E,,9239206654,,2012-02-22,2027-02-22,ACTIVE,299,43746621.0
BBMP/560058/0026,Mphasis Motors Group,Rajesh Kumar,FOOD,"980/3, Service Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,30,560058,UNBHA8794U,29UNBHA8794U8ZV,9103353542,,1994-08-13,2027-08-13,SUSPENDED,226,5476523.0
BBMP/560058/0027,Mphasis Pharmaceuticals Corporation,Anitha Nair,FACTORY,"Main Road, Peenya 1st Stage, Bengaluru, B'lore",Peenya 1st Stage,139,560058,OWYCP7238W,29OWYCP7238W6ZN,,,1991-09-08,2027-09-08,ACTIVE,687,13120474.0
BBMP/560100/0028,Star Chemicals Factory,Suresh Reddy,FACTORY,"Main Road, Hosur Road, Bengaluru, B'lore",Hosur Road,3,560100,SGXPW8182K,29SGXPW8182K7ZA,9940307277,,2009-07-05,2027-07-05,ACTIVE,174,19597010.0
BBMP/560058/0030,Star Garments Pvt Ltd,Suresh Kumar,GARMENT,"747/5, Factory Road, BEL Road, Bengaluru, B'lore",BEL Road,93,560058,AEOAU4842F,29AEOAU4842F3ZU,9842064252,,2020-11-18,2027-11-18,ACTIVE,144,26635504.0
BBMP/560100/0031,Mphasis Rubber Mfrs,Rajesh Reddy,FACTORY,"989/8, Main Road, Hosur Road, Bengaluru, 560100",Hosur Road,122,560100,MJXHK8717R,29MJXHK8717R9Z0,,,1996-08-03,2027-08-03,ACTIVE,767,24004707.0
BBMP/560100/0033,Srinivasa Pharmaceuticals Group,Ramesh Sharma,FACTORY,"Ring Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,36,560100,,,,,2020-06-27,2027-06-27,ACTIVE,344,12781430.0
BBMP/560058/0034,Titan Packaging Enterprises,Rajesh Sharma,FOOD,"983/6, 1st Cross, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,15,560058,KPGHJ8906C,29KPGHJ8906C4Z7,,,2011-05-26,2027-05-26,ACTIVE,231,37643238.0
BBMP/560058/0035,United Plastics Enterprises,Rajesh Rao,GARMENT,"510/3, 1st Cross, BEL Road, Bengaluru, B'lore",BEL Road,121,560058,URRAE0940J,29URRAE0940J5ZF,,,2002-11-28,2027-11-28,ACTIVE,68,44816789.0
BBMP/560058/0036,Srinivasa Paper Co,Ramesh Rao,GARMENT,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Rajajinagar Industrial Estate,183,560058,,,9933913641,,2002-04-08,2027-04-08,ACTIVE,243,27893110.0
BBMP/560100/0038,Mphasis Steel Factory,Anitha Rao,FOOD,"Industrial Road, Hosur Road, Bengaluru, B'lore",Hosur Road,138,560100,YJRHV8566B,29YJRHV8566B6ZF,,,1993-01-26,2027-01-26,ACTIVE,281,6507438.0
BBMP/560058/0039,Karnataka Electricals Private Limited,Rajesh Rao,FOOD,"603/5, Cross Road, Peenya 1st Stage, Bengaluru, B'lore",Peenya 1st Stage,107,560058,,,9994574499,,2017-01-12,2027-01-12,ACTIVE,534,1053911.0
BBMP/560100/0040,Bangalore Furniture Manufacturers,Rajesh Reddy,PRINTING,"Ring Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,67,560100,TUPFD8090T,,9662041983,,1998-12-05,2027-12-05,SUSPENDED,604,34499939.0
BBMP/560100/0042,National Foundry Limited,Priya Kumar,GARMENT,"Main Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,80,560100,NODAY5513E,29NODAY5513E9Z6,9750735221,,1991-03-25,2027-03-25,ACTIVE,449,3323842.0
BBMP/560100/0043,Sunrise Fabrics Manufacturers,Rajesh Kumar,GARMENT,"2nd Cross, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,83,560100,QDEPH7822P,,9818416897,,2013-05-14,2027-05-14,ACTIVE,478,7188004.0
BBMP/560058/0044,Venkateshwara Printing Traders,Ramesh Rao,FACTORY,"914/5, 3rd Main, Peenya, Bengaluru, B'lore",Peenya,92,560058,XVUPE2503Q,29XVUPE2503Q4ZZ,,,1999-03-21,2027-03-21,ACTIVE,447,49147906.0
BBMP/560058/0045,Mphasis Auto Parts Limited,Rajesh Sharma,FACTORY,"3rd Main, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,48,560058,FNNPO6402C,29FNNPO6402C7ZU,9341588930,,2013-06-19,2027-06-19,ACTIVE,82,27071187.0
BBMP/560100/0046,Premier Cables Factory,Ramesh Sharma,FACTORY,"423/9, Factory Road, Bommanahalli, Bengaluru, 560100",Bommanahalli,120,560100,AIICI3223Z,,9725415069,,2020-07-23,2027-07-23,CANCELLED,530,15460106.0
BBMP/560100/0047,Venkateshwara Valves Limited,Rajesh Rao,FOOD,"198/5, Main Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,127,560100,PSAAT8411Y,29PSAAT8411Y2ZU,9585153817,,2014-01-25,2027-01-25,ACTIVE,734,31283557.0
BBMP/560058/0048,Bengaluru Pumps Ltd,Suresh Kumar,FACTORY,"656/3, Industrial Road, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,90,560058,,,9603784886,,2006-05-23,2027-05-23,ACTIVE,208,18568629.0
BBMP/560058/0049,Bengaluru Leather Group,Priya Nair,FACTORY,"1/3, Main Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,97,560058,ILVPY3832X,,9276212961,,1998-02-28,2027-02-28,ACTIVE,636,28151460.0
BBMP/560100/0050,Balaji Pipes Pvt Ltd,Suresh Reddy,CHEMICAL,"294/2, Main Road, Kudlu Gate, Bengaluru, B'lore",Kudlu Gate,115,560100,WNHAD9411L,29WNHAD9411L6ZW,9561589758,,2005-05-01,2027-05-01,ACTIVE,78,43643471.0
BBMP/560100/0054,National Pharmaceuticals Limited,Anitha Nair,PHARMA,"267/3, Factory Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,35,560100,BYRHG7884M,,9594672969,,2009-11-07,2027-11-07,CANCELLED,242,7641174.0
BBMP/560100/0055,National Beverages Factory,Priya Reddy,PHARMA,"720/6, 1st Cross, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,169,560100,DDEFG5605Q,,,,2009-05-13,2027-05-13,SUSPENDED,194,12132679.0
BBMP/560100/0056,Leather Infosys Ltd,Ramesh Sharma,CHEMICAL,"277/9, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,73,560100,,,9201341177,,2010-03-06,2027-03-06,SUSPENDED,348,7194565.0
BBMP/560100/0058,JSW Ceramics Traders,Ramesh Reddy,PRINTING,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,101,560100,VRUCA8003B,29VRUCA8003B2ZK,,,1997-05-04,2027-05-04,ACTIVE,661,25339971.0
BBMP/560058/0059,JSW Ceramics Private Limited,Ramesh Sharma,GARMENT,"Main Road, Peenya 2nd Stage, Bengaluru, B'lore",Peenya 2nd Stage,91,560058,ECBAI8788O,29ECBAI8788O6ZK,9424418936,,2012-06-26,2027-06-26,ACTIVE,259,28295489.0
BBMP/560058/0060,Sunrise Plastics Co,Ramesh Nair,FACTORY,"Industrial Road, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,53,560058,BDRHW2159P,,,,1990-06-21,2027-06-21,SUSPENDED,429,21228037.0
BBMP/560100/0062,JSW Cables & Co,Suresh Reddy,GARMENT,"195/8, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,42,560100,LYSCG4245Z,29LYSCG4245Z3Z8,9405206924,,2003-02-07,2027-02-07,ACTIVE,506,46653212.0
BBMP/560100/0063,Modern Pumps & Co,Ramesh Nair,GARMENT,"759/2, Factory Road, Hosur Road, Bengaluru, B'lore",Hosur Road,64,560100,NDFCX5498G,29NDFCX5498G6ZT,9284119123,,2005-02-10,2027-02-10,ACTIVE,341,41116989.0
BBMP/560058/0064,Steel Wipro Pvt Ltd,Suresh Reddy,PHARMA,"Service Road, Peenya 1st Stage, Bengaluru, B'lore",Peenya 1st Stage,23,560058,,,,,2007-10-10,2027-10-10,CANCELLED,336,7324694.0
BBMP/560100/0069,Garments Peoples Manufacturers,Suresh Rao,FACTORY,"Factory Road, Hosur Road, Bengaluru, 560100",Hosur Road,143,560100,DXHCH9984T,29DXHCH9984T1Z7,9474354884,,1996-10-17,2027-10-17,ACTIVE,576,45821601.0
BBMP/560058/0070,Packaging National P Ltd,Ramesh Sharma,GARMENT,"747/9, Industrial Road, Peenya 1st Stage, Bengaluru, B'lore",Peenya 1st Stage,84,560058,JHPAV8101V,29JHPAV8101V4ZZ,,,2011-02-20,2027-02-20,ACTIVE,108,27415774.0
BBMP/560100/0072,Karnataka Electricals Corporation,Ramesh Reddy,FOOD,"Ring Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,93,560100,WUOFJ1069M,29WUOFJ1069M9ZS,9774624116,,2014-10-15,2027-10-15,ACTIVE,503,42366243.0
BBMP/560100/0074,Indian Eng Mfr,Ramesh Kumar,FOOD,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,42,560100,EYMPE4758W,,9556830826,,2001-07-15,2027-07-15,SUSPENDED,209,46169412.0
BBMP/560058/0075,Valves KS Mfrs,Anitha Rao,FACTORY,"Factory Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Rajajinagar Industrial Estate,43,560058,AGCHY1961Z,,,,2000-04-11,2027-04-11,ACTIVE,709,45133618.0
BBMP/560058/0076,Mahalaxmi Furniture Factory,Priya Nair,FOOD,"1st Cross, Peenya, Bengaluru, 560058",Peenya,159,560058,BOIHE6611Z,29BOIHE6611Z7Z5,9777188081,,2003-06-28,2027-06-28,ACTIVE,552,34005824.0
BBMP/560100/0077,Bengaluru Rubber Traders,Suresh Kumar,FACTORY,"781/1, Factory Road, Hosur Road, Bengaluru, 560100",Hosur Road,28,560100,VVVPO8466C,,9577812925,,1992-11-22,2027-11-22,ACTIVE,616,26980367.0
BBMP/560100/0078,Chemicals Modern Co,Suresh Reddy,FACTORY,"880/1, 1st Cross, Hosur Road, Bengaluru, 560100",Hosur Road,93,560100,,,,,2016-01-07,2027-01-07,ACTIVE,421,14057681.0
BBMP/560058/0079,New Textiles Works,Ramesh Kumar,FACTORY,"545/2, 3rd Main, Peenya, Bengaluru, 560058",Peenya,83,560058,YJDHV1088C,29YJDHV1088C7ZN,9671494630,,1994-09-10,2027-09-10,ACTIVE,298,39354932.0
BBMP/560100/0080,Venkateshwara Fabrics & Co,Ramesh Reddy,CHEMICAL,"882/1, Industrial Road, Kudlu Gate, Bengaluru, B'lore",Kudlu Gate,33,560100,CKSAD6680C,29CKSAD6680C7ZM,,,1999-04-04,2027-04-04,ACTIVE,209,13992767.0
BBMP/560058/0081,Venkateshwara Paper Factory,Anitha Nair,FACTORY,"570/1, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,107,560058,WUBCK3882U,29WUBCK3882U2ZR,9202370778,,1998-02-01,2027-02-01,CANCELLED,193,36212706.0
BBMP/560100/0083,JSW Motors Co,Ramesh Reddy,FACTORY,"183/2, Ring Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,69,560100,RTVPT9592M,,9328065403,,2002-12-17,2027-12-17,ACTIVE,303,20865776.0
BBMP/560100/0084,Indian Textiles Pvt Ltd,Ramesh Sharma,GARMENT,"Ring Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,173,560100,DESHS7714O,,9383558165,,2000-11-16,2027-11-16,ACTIVE,191,41204143.0
BBMP/560058/0086,Steel Srinivasa Works,Anitha Reddy,FOOD,"111/9, Service Road, Peenya Industrial Area, Bengaluru, B'lore",Peenya Industrial Area,160,560058,NNZPN0836X,,9657632238,,2016-08-27,2027-08-27,ACTIVE,664,40621740.0
BBMP/560100/0089,Foundry Sunrise Manufacturers,Suresh Nair,PRINTING,"Main Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,25,560100,KBRFB0476M,29KBRFB0476M9Z7,9963048231,,2011-04-22,2027-04-22,ACTIVE,167,46204293.0
BBMP/560100/0090,Bengaluru Auto Parts Group,Ramesh Rao,FACTORY,"997/8, Main Road, Electronic City Phase 2, Bengaluru, B'lore",Electronic City Phase 2,180,560100,JIEFC7350M,29JIEFC7350M6ZK,9413501643,,2010-02-08,2027-02-08,ACTIVE,758,42895485.0
BBMP/560058/0091,Steel Premier Traders,Ramesh Rao,GARMENT,"472/5, 3rd Main, BEL Road, Bengaluru, 560058",BEL Road,1,560058,XMEAA6788E,,9752570166,,2021-09-02,2027-09-02,ACTIVE,211,41101917.0
BBMP/560058/0094,Modern Electronics Manufacturers,Suresh Sharma,FACTORY,"799/8, 2nd Cross, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,131,560058,NFDAD1933E,29NFDAD1933E2Z4,9243529809,,2005-02-06,2027-02-06,ACTIVE,557,49666601.0
BBMP/560100/0095,Steel Mahalaxmi Co,Suresh Kumar,PHARMA,"688/3, Service Road, Bommanahalli, Bengaluru, B'lore",Bommanahalli,191,560100,AAMHD2913R,,,,2006-03-19,2027-03-19,ACTIVE,680,22433952.0
BBMP/560058/0096,United Plastics Pvt Ltd,Suresh Kumar,CHEMICAL,"638/9, Cross Road, Peenya, Bengaluru, B'lore",Peenya,161,560058,WRXCP4155S,29WRXCP4155S3ZO,9412063602,,2007-12-24,2027-12-24,ACTIVE,738,28021169.0
BBMP/560100/0097,Fabrics Premier Inds,Anitha Reddy,FACTORY,"Service Road, Hosur Road, Bengaluru, 560100",Hosur Road,192,560100,HSKPQ8438N,29HSKPQ8438N8ZX,,,1993-04-23,2027-04-23,ACTIVE,160,42017734.0
BBMP/560058/0098,New Paints Factory,Suresh Kumar,CHEMICAL,"73/4, Main Road, Peenya 2nd Stage, Bengaluru, B'lore",Peenya 2nd Stage,162,560058,AZUCL4428N,29AZUCL4428N6ZU,9671378069,,2013-09-06,2027-09-06,ACTIVE,648,49460386.0
BBMP/560100/0099,Valves Bangalore Ltd,Suresh Sharma,GARMENT,"237/9, Ring Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,140,560100,FADPU2374K,29FADPU2374K5ZV,9953855361,,2009-02-27,2027-02-27,ACTIVE,54,49944682.0
BBMP/560100/0100,Sri Motors Group,Suresh Sharma,PRINTING,"57/4, Factory Road, Neeladri Nagar, Bengaluru, B'lore",Neeladri Nagar,71,560100,FYGCE0221E,,9799220764,,2010-09-22,2027-09-22,CANCELLED,92,10930326.0
BBMP/560058/0101,Furniture Infosys Ltd,Ramesh Rao,CHEMICAL,"77/8, 1st Cross, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,177,560058,CBVPG2555R,29CBVPG2555R1ZK,9153320436,,2005-07-15,2027-07-15,ACTIVE,376,39347668.0
BBMP/560058/0102,Sunrise Ceramics Factory,Rajesh Rao,FOOD,"3rd Main, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,37,560058,CUZPW1665L,29CUZPW1665L2Z9,9819739113,,2007-03-06,2027-03-06,ACTIVE,113,27016584.0
BBMP/560058/0103,New Auto Parts & Co,Rajesh Kumar,FACTORY,"192/8, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,27,560058,PDBCX2128Q,,,,2000-08-15,2027-08-15,ACTIVE,711,48625354.0
BBMP/560058/0104,Venkateshwara Garments & Co,Priya Rao,FACTORY,"2nd Cross, Peenya, Bengaluru, B'lore",Peenya,145,560058,QZHCM8724I,,9197094184,,2013-07-14,2027-07-14,ACTIVE,765,4700514.0
BBMP/560100/0105,Engineering Mphasis Enterprises,Suresh Reddy,CHEMICAL,"Cross Road, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,96,560100,PXMAY2389L,29PXMAY2389L6ZV,9435776588,,1996-11-02,2027-11-02,ACTIVE,603,39525709.0
BBMP/560100/0106,Premier Foundry Ltd,Rajesh Reddy,FACTORY,"1st Cross, Electronic City Phase 2, Bengaluru, B'lore",Electronic City Phase 2,9,560100,,,,,2017-08-24,2027-08-24,ACTIVE,14,27271565.0
BBMP/560100/0107,Balaji Electricals Co,Priya Reddy,FACTORY,"537/1, Main Road, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,49,560100,CULPV9744X,29CULPV9744X8ZT,,,2020-02-25,2027-02-25,ACTIVE,18,21770622.0
BBMP/560058/0109,Venkateshwara Plastics Corporation,Anitha Reddy,CHEMICAL,"Main Road, Peenya 2nd Stage, Bengaluru, B'lore",Peenya 2nd Stage,189,560058,KSZHZ2501M,29KSZHZ2501M2Z2,9925939263,,1999-08-14,2027-08-14,ACTIVE,681,39017799.0
BBMP/560058/0110,Global Chemicals International,Ramesh Rao,FACTORY,"2nd Cross, Yeshwanthpur, Bengaluru, B'lore",Yeshwanthpur,76,560058,SVIFH8267K,,9971792567,,1990-07-25,2027-07-25,ACTIVE,524,6918149.0
BBMP/560100/0111,Indian Rubber Ent,Priya Kumar,FACTORY,"775/8, Industrial Road, Kudlu Gate, Bengaluru, B'lore",Kudlu Gate,11,560100,UXRFV7913N,,9336861149,,1996-03-08,2027-03-08,ACTIVE,605,17718528.0
BBMP/560100/0112,Foundry Janatha Co,Suresh Reddy,PRINTING,"Main Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,67,560100,SDRFS1222A,,9701358605,,2001-05-09,2027-05-09,ACTIVE,362,21557741.0
BBMP/560100/0113,Engineering Shree International,Ramesh Nair,GARMENT,"27/6, 2nd Cross, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,67,560100,YHFCS7511N,29YHFCS7511N6ZP,9187811297,,2016-06-11,2027-06-11,ACTIVE,201,30326243.0
BBMP/560100/0116,Global Textiles Pvt.Ltd,Ramesh Reddy,FACTORY,"Ring Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,163,560100,YKUCC1666J,29YKUCC1666J1Z8,,,1995-12-18,2027-12-18,ACTIVE,770,1903104.0
BBMP/560100/0121,Venkateshwara Foods & Co,Suresh Kumar,FACTORY,"2nd Cross, Bommanahalli, Bengaluru, 560100",Bommanahalli,128,560100,SBQPF8393J,,,,2005-10-13,2027-10-13,ACTIVE,537,4418282.0
BBMP/560100/0122,Mphasis Foods Indus,Priya Kumar,FOOD,"Service Road, Hosur Road, Bengaluru, 560100",Hosur Road,80,560100,GIJFV9678H,,,,2018-11-12,2027-11-12,ACTIVE,134,33096743.0
BBMP/560058/0123,Titan Ceramics Pvt. Ltd.,Ramesh Rao,FACTORY,"793/8, Factory Road, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,95,560058,NFTPE2037L,29NFTPE2037L8ZY,9192498086,,2007-06-28,2027-06-28,ACTIVE,200,12272739.0
BBMP/560100/0124,Premier Fabrics Manufacturers,Anitha Reddy,FACTORY,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,12,560100,WEPCJ2257Y,29WEPCJ2257Y3Z5,9117741864,,2017-03-06,2027-03-06,ACTIVE,294,2850065.0
BBMP/560058/0125,Electricals JSW & Co,Rajesh Reddy,FACTORY,"2nd Cross, BEL Road, Bengaluru, 560058",BEL Road,27,560058,EGQPU6612I,29EGQPU6612I9ZF,9807844945,,1994-09-24,2027-09-24,ACTIVE,766,15590180.0
BBMP/560100/0126,Star Chemicals Pvt Ltd,Rajesh Rao,FACTORY,"Factory Road, Hosur Road, Bengaluru, 560100",Hosur Road,5,560100,CJSCD3032G,29CJSCD3032G3ZN,9642103475,,2014-06-03,2027-06-03,ACTIVE,581,17033692.0
BBMP/560100/0127,Srinivasa Electricals Ltd,Anitha Nair,PRINTING,"246/5, Industrial Road, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,198,560100,QOHPW4096M,29QOHPW4096M5ZT,9310872188,,1990-07-23,2027-07-23,SUSPENDED,140,23209799.0
BBMP/560100/0128,New Electricals Pvt Ltd,Rajesh Rao,FOOD,"Factory Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,189,560100,EIGHD3711Z,,9492001740,,1994-08-19,2027-08-19,ACTIVE,363,34731682.0
BBMP/560100/0129,Engineering Sri Ltd,Anitha Kumar,CHEMICAL,"1st Cross, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,1,560100,IGOAG5369R,29IGOAG5369R9ZV,9720615587,,2002-06-10,2027-06-10,ACTIVE,227,32997887.0
BBMP/560058/0131,Raghavendra Pipes Traders,Rajesh Nair,FACTORY,"Ring Road, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,89,560058,EPHAS1025O,,9841709558,,2018-03-22,2027-03-22,ACTIVE,714,2585205.0
BBMP/560100/0136,Peoples Motors Traders,Suresh Nair,PRINTING,"813/8, Factory Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,69,560100,,,,,2013-04-22,2027-04-22,ACTIVE,542,33972859.0
BBMP/560058/0137,Lakshmi Motors Private Limited,Ramesh Rao,FOOD,"Industrial Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Rajajinagar Industrial Estate,88,560058,EVBHS8529O,29EVBHS8529O5Z3,9435223174,,1995-01-06,2027-01-06,ACTIVE,214,36082898.0
BBMP/560058/0138,Titan Beverages & Co,Priya Reddy,FACTORY,"1st Cross, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,198,560058,EPCCS4972X,29EPCCS4972X9Z7,9940504035,,1999-12-16,2027-12-16,ACTIVE,99,14356973.0
BBMP/560058/0139,Bangalore Engineering Factory,Rajesh Nair,FOOD,"149/3, 2nd Cross, Rajajinagar Industrial Estate, Bengaluru, B'lore",Rajajinagar Industrial Estate,144,560058,,,9194488051,,1992-05-19,2027-05-19,ACTIVE,636,49888699.0
BBMP/560100/0140,JSW Foods Entp,Anitha Reddy,FACTORY,"Industrial Road, Bommanahalli, Bengaluru, 560100",Bommanahalli,15,560100,YTCFC4758G,,9121892442,,1997-08-28,2027-08-28,ACTIVE,30,24830800.0
BBMP/560058/0141,Sri Motors Co,Suresh Kumar,CHEMICAL,"930/9, Service Road, Peenya, Bengaluru, B'lore",Peenya,158,560058,YOFAB2385T,,9785184783,,2009-09-21,2027-09-21,ACTIVE,727,5283895.0
BBMP/560100/0142,Star Pumps Traders,Anitha Kumar,FOOD,"Cross Road, Kudlu Gate, Bengaluru, B'lore",Kudlu Gate,24,560100,YFVAV6712X,29YFVAV6712X5ZN,9106011469,,2013-03-03,2027-03-03,ACTIVE,777,14706657.0
BBMP/560058/0143,Cables Indian Factory,Rajesh Nair,FOOD,"Ring Road, Peenya 1st Stage, Bengaluru, 560058",Peenya 1st Stage,162,560058,JYEHU7391X,29JYEHU7391X3Z6,,,2006-07-23,2027-07-23,ACTIVE,351,23934843.0
